<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	1.27302	1.27727	1.25802	1.26057	87996	0	4
2019.01.03	1.26058	1.26467	1.23953	1.26286	115003	0	12
2019.01.04	1.26371	1.27433	1.26151	1.27373	96842	0	5
2019.01.07	1.27160	1.27863	1.27073	1.27765	72681	0	7
2019.01.08	1.27732	1.27968	1.27060	1.27142	71449	0	8
2019.01.09	1.27137	1.28034	1.27068	1.27867	117342	0	3
2019.01.10	1.27876	1.28009	1.27273	1.27463	103013	0	3
2019.01.11	1.27499	1.28654	1.27089	1.28434	102937	0	3
2019.01.14	1.28502	1.29301	1.28174	1.28595	94675	0	6
2019.01.15	1.28658	1.29148	1.26677	1.28587	121705	0	6
2019.01.16	1.28578	1.28966	1.28241	1.28770	95215	0	6
2019.01.17	1.28771	1.30002	1.28313	1.29843	99133	0	6
2019.01.18	1.29842	1.29929	1.28693	1.28697	80614	0	8
2019.01.21	1.28714	1.29099	1.28297	1.28902	67824	0	10
2019.01.22	1.28915	1.29747	1.28545	1.29561	98000	0	9
2019.01.23	1.29563	1.30803	1.29407	1.30670	106109	0	9
2019.01.24	1.30678	1.30935	1.30115	1.30628	113263	0	8
2019.01.25	1.30615	1.31981	1.30563	1.31962	115048	0	12
2019.01.28	1.31837	1.32104	1.31362	1.31566	93298	0	8
2019.01.29	1.31559	1.31992	1.30548	1.30655	133728	0	4
2019.01.30	1.30657	1.31447	1.30539	1.31152	104746	0	7
2019.01.31	1.31138	1.31595	1.30928	1.31080	103506	0	8
2019.02.01	1.31101	1.31142	1.30426	1.30813	90502	0	8
2019.02.04	1.30614	1.31028	1.30282	1.30344	85946	0	6
2019.02.05	1.30343	1.30510	1.29239	1.29488	74779	0	4
2019.02.06	1.29496	1.29787	1.29245	1.29278	81083	0	4
2019.02.07	1.29278	1.29957	1.28532	1.29512	93369	0	6
2019.02.08	1.29506	1.29758	1.29205	1.29336	67774	0	8
2019.02.11	1.29278	1.29383	1.28454	1.28575	79140	0	5
2019.02.12	1.28603	1.29090	1.28318	1.28904	80491	0	9
2019.02.13	1.28936	1.29581	1.28442	1.28445	90868	0	9
2019.02.14	1.28448	1.28770	1.27722	1.27975	95885	0	4
2019.02.15	1.27991	1.28954	1.27838	1.28806	86618	0	5
2019.02.18	1.29022	1.29380	1.28908	1.29209	80135	0	8
2019.02.19	1.29218	1.30725	1.28949	1.30612	89069	0	8
2019.02.20	1.30625	1.31084	1.30113	1.30494	93491	0	6
2019.02.21	1.30495	1.30948	1.30253	1.30371	98331	0	8
2019.02.22	1.30356	1.30793	1.29673	1.30580	85140	0	12
2019.02.25	1.30679	1.31136	1.30453	1.30952	90146	0	8
2019.02.26	1.30955	1.32877	1.30955	1.32496	123475	0	7
2019.02.27	1.32499	1.33494	1.32326	1.33062	113098	0	7
2019.02.28	1.33079	1.33191	1.32528	1.32607	97701	0	6
2019.03.01	1.32609	1.32856	1.31904	1.31910	89373	0	8
2019.03.04	1.32426	1.32536	1.31656	1.31783	96930	0	8
2019.03.05	1.31805	1.31980	1.30969	1.31770	100519	0	9
2019.03.06	1.31781	1.31806	1.31234	1.31680	95691	0	10
2019.03.07	1.31696	1.31843	1.30675	1.30799	101136	0	6
2019.03.08	1.30812	1.31076	1.29892	1.30145	104459	0	9
2019.03.11	1.29833	1.31898	1.29594	1.31880	114560	0	9
2019.03.12	1.31879	1.32884	1.30040	1.30721	133632	0	12
2019.03.13	1.30722	1.33807	1.30612	1.33116	108347	0	8
2019.03.14	1.33116	1.33304	1.32065	1.32583	121374	0	11
2019.03.15	1.32584	1.32994	1.32022	1.32907	100644	0	8
2019.03.18	1.32953	1.32996	1.31836	1.32437	88483	0	8
2019.03.19	1.32437	1.33106	1.32402	1.32629	86598	0	8
2019.03.20	1.32629	1.32719	1.31455	1.31924	116390	0	8
2019.03.21	1.31925	1.32266	1.30032	1.31115	125658	0	6
2019.03.22	1.31115	1.32230	1.30803	1.31961	122123	0	9
2019.03.25	1.32089	1.32454	1.31592	1.31939	106442	0	9
2019.03.26	1.31937	1.32607	1.31566	1.32044	103578	0	12
2019.03.27	1.32044	1.32687	1.31537	1.31578	128729	0	4
2019.03.28	1.31586	1.31977	1.30339	1.30447	125841	0	12
2019.03.29	1.30445	1.31352	1.29767	1.30171	112958	0	6
2019.04.01	1.30381	1.31491	1.30050	1.31013	105818	0	3
2019.04.02	1.31034	1.31490	1.30126	1.31270	124462	0	12
2019.04.03	1.31325	1.31955	1.31203	1.31551	109777	0	9
2019.04.04	1.31560	1.31905	1.30593	1.30738	104127	0	8
2019.04.05	1.30741	1.31212	1.29862	1.30255	85517	0	9
2019.04.08	1.30337	1.30736	1.30215	1.30573	88629	0	7
2019.04.09	1.30612	1.31213	1.30298	1.30484	90517	0	9
2019.04.10	1.30508	1.31224	1.30370	1.30866	93960	0	5
2019.04.11	1.30881	1.31083	1.30496	1.30509	91892	0	7
2019.04.12	1.30520	1.31322	1.30498	1.30773	78888	0	8
2019.04.15	1.30706	1.31184	1.30668	1.30966	70968	0	9
2019.04.16	1.30988	1.31007	1.30419	1.30455	88614	0	8
2019.04.17	1.30474	1.30665	1.30281	1.30386	83357	0	8
2019.04.18	1.30391	1.30518	1.29782	1.29867	98399	0	8
2019.04.19	1.29839	1.30088	1.29804	1.29900	118532	0	12
2019.04.22	1.29812	1.29991	1.29745	1.29785	40714	0	5
2019.04.23	1.29784	1.30187	1.29275	1.29363	78364	0	4
2019.04.24	1.29359	1.29628	1.28870	1.29003	89067	0	3
2019.04.25	1.28986	1.29159	1.28650	1.28965	88293	0	12
2019.04.26	1.28964	1.29429	1.28741	1.29230	83741	0	7
2019.04.29	1.29147	1.29465	1.29034	1.29321	69302	0	5
2019.04.30	1.29302	1.30484	1.29204	1.30314	88245	0	5
2019.05.01	1.30358	1.31018	1.30283	1.30490	76078	0	8
2019.05.02	1.30478	1.30800	1.30174	1.30312	85285	0	6
2019.05.03	1.30312	1.31760	1.29877	1.31648	85027	0	8
2019.05.06	1.31434	1.31700	1.30805	1.30951	90261	0	9
2019.05.07	1.30941	1.31311	1.30389	1.30746	87041	0	6
2019.05.08	1.30732	1.30797	1.29863	1.30045	105510	0	9
2019.05.09	1.30063	1.30353	1.29667	1.30090	93568	0	7
2019.05.10	1.30031	1.30469	1.29906	1.30085	87291	0	6
2019.05.13	1.29923	1.30400	1.29404	1.29561	79428	0	5
2019.05.14	1.29580	1.29695	1.29029	1.29033	73250	0	6
2019.05.15	1.29032	1.29226	1.28256	1.28419	81675	0	6
2019.05.16	1.28410	1.28516	1.27868	1.27955	67855	0	7
2019.05.17	1.27951	1.27974	1.27185	1.27243	75438	0	8
2019.05.20	1.27287	1.27566	1.27139	1.27229	64746	0	5
2019.05.21	1.27214	1.28131	1.26845	1.27040	93214	0	9
2019.05.22	1.27042	1.27186	1.26235	1.26600	83341	0	8
2019.05.23	1.26598	1.26834	1.26045	1.26553	92780	0	9
