<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.01.01	1.78580	1.85840	1.77860	1.82510	244413	0	50
2004.02.01	1.82430	1.91430	1.81370	1.86730	239059	0	50
2004.03.01	1.86720	1.87520	1.79060	1.84620	281359	0	50
2004.04.01	1.84630	1.86080	1.75790	1.77780	269702	0	50
2004.05.01	1.77950	1.84270	1.74800	1.83330	303008	0	50
2004.06.01	1.83280	1.84920	1.80110	1.81960	312568	0	50
2004.07.01	1.81950	1.87760	1.80830	1.82070	292929	0	50
2004.08.01	1.82330	1.84690	1.78540	1.80260	282025	0	50
2004.09.01	1.80290	1.81660	1.77080	1.81180	219465	0	50
2004.10.01	1.81190	1.84510	1.77450	1.83750	203974	0	50
2004.11.01	1.83900	1.91340	1.82970	1.90930	221981	0	50
2004.12.01	1.90940	1.95520	1.90140	1.91870	239520	0	50
2005.01.01	1.91920	1.92040	1.85230	1.88390	226268	0	40
2005.02.01	1.88400	1.92620	1.85070	1.92020	206280	0	40
2005.03.01	1.92030	1.93280	1.85930	1.89040	233386	0	40
2005.04.01	1.89010	1.92200	1.86710	1.90720	231223	0	40
2005.05.01	1.90660	1.90790	1.81030	1.81730	261504	0	40
2005.06.01	1.81730	1.84050	1.78710	1.79080	305130	0	40
2005.07.01	1.79050	1.79200	1.72710	1.75770	292478	0	40
2005.08.01	1.75560	1.81800	1.75400	1.80350	293191	0	40
2005.09.01	1.80360	1.85030	1.75650	1.76270	265027	0	40
2005.10.01	1.76190	1.79040	1.73920	1.76800	239271	0	40
2005.11.01	1.76800	1.77960	1.70470	1.72920	242853	0	40
2005.12.01	1.72900	1.78110	1.71290	1.72060	215672	0	40
2006.01.01	1.72230	1.79370	1.71870	1.77880	223318	0	30
2006.02.01	1.77810	1.78220	1.72780	1.75370	198363	0	30
2006.03.01	1.75380	1.76260	1.72310	1.73630	227890	0	30
2006.04.01	1.73650	1.82480	1.72500	1.82350	195517	0	30
