<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.05	1.64109	1.65169	1.63374	1.64792	179540	0	1
2014.01.12	1.64867	1.65078	1.63090	1.64097	187681	0	1
2014.01.19	1.64148	1.66680	1.63953	1.64981	184807	0	1
2014.01.26	1.64754	1.66250	1.64271	1.64410	198901	0	1
2014.02.02	1.64296	1.64407	1.62519	1.64145	224554	0	1
2014.02.09	1.64080	1.67479	1.63829	1.67451	183103	0	1
2014.02.16	1.67579	1.68223	1.66125	1.66367	189383	0	1
2014.02.23	1.66323	1.67684	1.65831	1.67498	197502	0	1
2014.03.02	1.67414	1.67855	1.66403	1.67221	205114	0	1
2014.03.09	1.67210	1.67410	1.65681	1.66439	349750	0	1
2014.03.16	1.66344	1.66657	1.64752	1.64971	325927	0	1
2014.03.23	1.64853	1.66511	1.64652	1.66400	351445	0	1
2014.03.30	1.66422	1.66837	1.65536	1.65772	338096	0	1
2014.04.06	1.65713	1.68201	1.65654	1.67337	248754	0	1
2014.04.13	1.67369	1.68417	1.66600	1.67904	185577	0	1
2014.04.20	1.68009	1.68390	1.67623	1.67990	168497	0	1
2014.04.27	1.68025	1.69195	1.67772	1.68722	204890	0	1
2014.05.04	1.68743	1.69961	1.68317	1.68506	233303	0	1
2014.05.11	1.68469	1.69029	1.67316	1.68193	209719	0	1
2014.05.18	1.68227	1.69201	1.68019	1.68282	170218	0	1
2014.05.25	1.68337	1.68816	1.66925	1.67614	152083	0	1
2014.06.01	1.67599	1.68454	1.66988	1.68067	220125	0	1
2014.06.08	1.68083	1.69913	1.67378	1.69693	215541	0	1
2014.06.15	1.69752	1.70626	1.69195	1.70150	220571	0	1
2014.06.22	1.70210	1.70512	1.69521	1.70333	192841	0	1
2014.06.29	1.70341	1.71789	1.70085	1.71562	131667	0	1
2014.07.06	1.71625	1.71669	1.70849	1.71202	152089	0	1
2014.07.13	1.71206	1.71898	1.70360	1.70855	277824	0	1
2014.07.20	1.70810	1.70989	1.69607	1.69779	269447	0	1
2014.07.27	1.69762	1.70007	1.68027	1.68205	276769	0	1
2014.08.03	1.68237	1.68883	1.67663	1.67772	262159	0	6
2014.08.10	1.67736	1.68445	1.66571	1.66955	231953	0	6
2014.08.17	1.67152	1.67371	1.65609	1.65729	249469	0	2
