<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	20:00:00	1.27196	1.27308	1.27147	1.27262	327	0	1
2024.01.02	00:00:00	1.27262	1.27352	1.27098	1.27104	8088	0	1
2024.01.02	04:00:00	1.27104	1.27410	1.27098	1.27308	6825	0	1
2024.01.02	08:00:00	1.27310	1.27597	1.26924	1.26952	19063	0	1
2024.01.02	12:00:00	1.26949	1.26949	1.26200	1.26281	22945	0	1
2024.01.02	16:00:00	1.26281	1.26372	1.26106	1.26259	22166	0	1
2024.01.02	20:00:00	1.26259	1.26267	1.26120	1.26184	6662	0	1
2024.01.03	00:00:00	1.26184	1.26334	1.26167	1.26290	6645	0	1
2024.01.03	04:00:00	1.26290	1.26460	1.26288	1.26434	6754	0	1
2024.01.03	08:00:00	1.26434	1.26523	1.26200	1.26262	14694	0	1
2024.01.03	12:00:00	1.26264	1.26429	1.26178	1.26306	18507	0	1
2024.01.03	16:00:00	1.26286	1.26564	1.26156	1.26463	24689	0	1
2024.01.03	20:00:00	1.26462	1.26765	1.26308	1.26650	15576	0	1
2024.01.04	00:00:00	1.26650	1.26735	1.26568	1.26598	6792	0	1
2024.01.04	04:00:00	1.26598	1.26789	1.26591	1.26789	8208	0	1
2024.01.04	08:00:00	1.26787	1.27296	1.26774	1.27072	19671	0	1
2024.01.04	12:00:00	1.27072	1.27077	1.26647	1.26785	19430	0	1
2024.01.04	16:00:00	1.26784	1.27103	1.26725	1.26819	16678	0	1
2024.01.04	20:00:00	1.26819	1.26871	1.26740	1.26844	5946	0	1
2024.01.05	00:00:00	1.26844	1.26959	1.26802	1.26863	6317	0	1
2024.01.05	04:00:00	1.26864	1.26876	1.26649	1.26700	8796	0	1
2024.01.05	08:00:00	1.26699	1.26891	1.26512	1.26563	13781	0	1
2024.01.05	12:00:00	1.26563	1.27060	1.26109	1.27010	28281	0	1
2024.01.05	16:00:00	1.27010	1.27707	1.27010	1.27325	29987	0	1
2024.01.05	20:00:00	1.27325	1.27393	1.27156	1.27162	7750	0	1
2024.01.07	20:00:00	1.27125	1.27151	1.27117	1.27147	263	0	18
2024.01.08	00:00:00	1.27147	1.27296	1.27083	1.27109	6683	0	1
2024.01.08	04:00:00	1.27109	1.27153	1.26978	1.27151	5687	0	1
2024.01.08	08:00:00	1.27151	1.27197	1.26733	1.27054	13572	0	1
2024.01.08	12:00:00	1.27055	1.27301	1.26951	1.27290	14474	0	1
2024.01.08	16:00:00	1.27290	1.27670	1.27211	1.27499	12381	0	1
2024.01.08	20:00:00	1.27499	1.27603	1.27436	1.27466	5841	0	1
2024.01.09	00:00:00	1.27467	1.27649	1.27404	1.27572	8524	0	1
2024.01.09	04:00:00	1.27572	1.27624	1.27341	1.27349	6558	0	1
2024.01.09	08:00:00	1.27349	1.27504	1.27216	1.27246	12143	0	1
2024.01.09	12:00:00	1.27244	1.27354	1.27072	1.27193	15666	0	1
2024.01.09	16:00:00	1.27193	1.27213	1.26894	1.26975	15226	0	1
2024.01.09	20:00:00	1.26974	1.27117	1.26920	1.27070	6354	0	1
2024.01.10	00:00:00	1.27073	1.27179	1.27016	1.27034	6556	0	1
2024.01.10	04:00:00	1.27034	1.27077	1.26861	1.26874	7819	0	1
2024.01.10	08:00:00	1.26874	1.27344	1.26874	1.27261	14112	0	1
2024.01.10	12:00:00	1.27261	1.27362	1.27128	1.27217	12200	0	1
2024.01.10	16:00:00	1.27218	1.27425	1.27150	1.27393	12194	0	1
2024.01.10	20:00:00	1.27392	1.27439	1.27231	1.27398	7202	0	1
2024.01.11	00:00:00	1.27398	1.27696	1.27379	1.27634	7350	0	1
2024.01.11	04:00:00	1.27634	1.27741	1.27593	1.27703	6565	0	1
2024.01.11	08:00:00	1.27702	1.27731	1.27335	1.27464	11804	0	1
2024.01.11	12:00:00	1.27464	1.27807	1.27000	1.27248	29697	0	1
2024.01.11	16:00:00	1.27248	1.27485	1.26900	1.27477	29465	0	1
2024.01.11	20:00:00	1.27478	1.27665	1.27416	1.27578	12746	0	1
2024.01.12	00:00:00	1.27578	1.27850	1.27557	1.27768	10661	0	1
2024.01.12	04:00:00	1.27768	1.27814	1.27680	1.27713	8290	0	1
2024.01.12	08:00:00	1.27713	1.27793	1.27470	1.27546	12769	0	1
2024.01.12	12:00:00	1.27545	1.27813	1.27194	1.27684	22083	0	1
2024.01.12	16:00:00	1.27684	1.27854	1.27323	1.27489	18262	0	1
2024.01.12	20:00:00	1.27489	1.27564	1.27426	1.27504	6786	0	1
2024.01.14	20:00:00	1.27409	1.27514	1.27390	1.27485	380	0	1
2024.01.15	00:00:00	1.27485	1.27634	1.27283	1.27619	9402	0	1
2024.01.15	04:00:00	1.27621	1.27654	1.27506	1.27555	7473	0	1
2024.01.15	08:00:00	1.27555	1.27590	1.27129	1.27307	12285	0	1
2024.01.15	12:00:00	1.27307	1.27392	1.27130	1.27174	11770	0	1
2024.01.15	16:00:00	1.27174	1.27382	1.27136	1.27315	7193	0	1
2024.01.15	20:00:00	1.27315	1.27316	1.27230	1.27265	2142	0	1
2024.01.16	00:00:00	1.27266	1.27274	1.26790	1.26849	10028	0	1
2024.01.16	04:00:00	1.26849	1.26889	1.26763	1.26825	8002	0	1
2024.01.16	08:00:00	1.26828	1.26858	1.26258	1.26290	20336	0	1
2024.01.16	12:00:00	1.26290	1.26724	1.26203	1.26488	23294	0	1
2024.01.16	16:00:00	1.26488	1.26791	1.26228	1.26289	28182	0	1
2024.01.16	20:00:00	1.26289	1.26387	1.26194	1.26382	7866	0	1
2024.01.17	00:00:00	1.26382	1.26436	1.26315	1.26347	10199	0	1
2024.01.17	04:00:00	1.26347	1.26353	1.25964	1.26056	10584	0	1
2024.01.17	08:00:00	1.26046	1.26963	1.26045	1.26769	23428	0	1
2024.01.17	12:00:00	1.26770	1.26936	1.26388	1.26413	19362	0	1
2024.01.17	16:00:00	1.26413	1.26822	1.26381	1.26745	20497	0	1
2024.01.17	20:00:00	1.26744	1.26868	1.26685	1.26711	8497	0	1
2024.01.18	00:00:00	1.26711	1.26955	1.26710	1.26866	10101	0	1
2024.01.18	04:00:00	1.26866	1.27037	1.26778	1.26980	10112	0	1
2024.01.18	08:00:00	1.26980	1.26998	1.26725	1.26916	17667	0	1
2024.01.18	12:00:00	1.26916	1.26956	1.26478	1.26718	22754	0	1
2024.01.18	16:00:00	1.26719	1.26986	1.26658	1.26958	20949	0	1
2024.01.18	20:00:00	1.26958	1.27082	1.26846	1.27043	7564	0	1
2024.01.19	00:00:00	1.27043	1.27143	1.26998	1.27109	9505	0	1
2024.01.19	04:00:00	1.27109	1.27142	1.26908	1.26940	6478	0	1
2024.01.19	08:00:00	1.26940	1.26963	1.26655	1.26807	17037	0	1
2024.01.19	12:00:00	1.26807	1.26907	1.26612	1.26721	16447	0	1
2024.01.19	16:00:00	1.26758	1.26956	1.26612	1.26878	19286	0	1
2024.01.19	20:00:00	1.26878	1.27051	1.26872	1.27023	6822	0	1
2024.01.21	20:00:00	1.26844	1.27000	1.26829	1.26899	391	0	25
2024.01.22	00:00:00	1.26899	1.27182	1.26899	1.27174	10750	0	1
2024.01.22	04:00:00	1.27173	1.27245	1.27107	1.27138	7876	0	1
2024.01.22	08:00:00	1.27138	1.27158	1.26868	1.27076	13448	0	1
2024.01.22	12:00:00	1.27076	1.27315	1.27050	1.27219	14892	0	1
2024.01.22	16:00:00	1.27217	1.27328	1.27057	1.27126	13800	0	1
2024.01.22	20:00:00	1.27125	1.27128	1.26978	1.27082	5662	0	1
2024.01.23	00:00:00	1.27065	1.27278	1.27020	1.27192	7391	0	1
2024.01.23	04:00:00	1.27193	1.27465	1.27153	1.27458	12278	0	1
2024.01.23	08:00:00	1.27458	1.27471	1.27103	1.27123	13595	0	1
2024.01.23	12:00:00	1.27123	1.27182	1.26794	1.26808	14081	0	1
2024.01.23	16:00:00	1.26809	1.26915	1.26492	1.26658	14153	0	1
2024.01.23	20:00:00	1.26658	1.26917	1.26652	1.26813	8040	0	1
2024.01.24	00:00:00	1.26812	1.26982	1.26800	1.26902	8008	0	1
2024.01.24	04:00:00	1.26902	1.27080	1.26897	1.27029	7655	0	1
2024.01.24	08:00:00	1.27029	1.27732	1.26996	1.27533	17742	0	1
2024.01.24	12:00:00	1.27533	1.27747	1.27280	1.27438	18383	0	1
2024.01.24	16:00:00	1.27439	1.27565	1.27262	1.27294	20215	0	1
2024.01.24	20:00:00	1.27294	1.27309	1.27133	1.27248	7564	0	1
2024.01.25	00:00:00	1.27249	1.27262	1.27033	1.27116	8846	0	1
2024.01.25	04:00:00	1.27117	1.27249	1.27072	1.27237	7780	0	1
2024.01.25	08:00:00	1.27237	1.27425	1.27186	1.27353	12187	0	1
2024.01.25	12:00:00	1.27353	1.27403	1.26973	1.27232	24654	0	1
2024.01.25	16:00:00	1.27232	1.27270	1.26816	1.26955	21197	0	1
2024.01.25	20:00:00	1.26956	1.27116	1.26860	1.27076	8333	0	1
2024.01.26	00:00:00	1.27076	1.27158	1.27007	1.27108	5816	0	1
2024.01.26	04:00:00	1.27108	1.27158	1.26941	1.26968	6668	0	1
2024.01.26	08:00:00	1.26968	1.27338	1.26755	1.27326	14291	0	1
2024.01.26	12:00:00	1.27326	1.27582	1.27236	1.27432	20265	0	1
2024.01.26	16:00:00	1.27432	1.27432	1.26987	1.27024	16058	0	1
2024.01.26	20:00:00	1.27023	1.27096	1.26998	1.27043	4690	0	1
2024.01.28	20:00:00	1.26962	1.27041	1.26962	1.27019	180	0	1
2024.01.29	00:00:00	1.27019	1.27061	1.26907	1.26995	8988	0	1
2024.01.29	04:00:00	1.26996	1.27095	1.26967	1.27080	7421	0	1
2024.01.29	08:00:00	1.27072	1.27189	1.26954	1.27050	13180	0	1
2024.01.29	12:00:00	1.27051	1.27126	1.26717	1.26762	11703	0	1
2024.01.29	16:00:00	1.26762	1.26903	1.26619	1.26833	12488	0	1
2024.01.29	20:00:00	1.26833	1.27174	1.26820	1.27091	8213	0	1
2024.01.30	00:00:00	1.27089	1.27208	1.27054	1.27103	7948	0	1
2024.01.30	04:00:00	1.27103	1.27116	1.26921	1.26932	8706	0	1
2024.01.30	08:00:00	1.26931	1.26990	1.26715	1.26795	13720	0	1
2024.01.30	12:00:00	1.26794	1.26876	1.26623	1.26780	14344	0	1
2024.01.30	16:00:00	1.26766	1.26889	1.26401	1.26855	19352	0	1
2024.01.30	20:00:00	1.26855	1.27006	1.26814	1.26982	6692	0	1
2024.01.31	00:00:00	1.26982	1.27009	1.26725	1.26747	9217	0	1
2024.01.31	04:00:00	1.26747	1.26825	1.26694	1.26698	6506	0	1
2024.01.31	08:00:00	1.26698	1.26972	1.26665	1.26706	14715	0	1
2024.01.31	12:00:00	1.26706	1.27443	1.26694	1.27388	20915	0	1
2024.01.31	16:00:00	1.27385	1.27505	1.27128	1.27144	23651	0	1
2024.01.31	20:00:00	1.27149	1.27392	1.26582	1.26858	36333	0	1
2024.02.01	00:00:00	1.26862	1.26977	1.26740	1.26919	10778	0	1
2024.02.01	04:00:00	1.26918	1.26938	1.26605	1.26630	7228	0	1
2024.02.01	08:00:00	1.26627	1.26627	1.26299	1.26321	17393	0	1
2024.02.01	12:00:00	1.26321	1.26854	1.26253	1.26639	23722	0	1
2024.02.01	16:00:00	1.26639	1.27424	1.26397	1.27406	31363	0	1
2024.02.01	20:00:00	1.27406	1.27553	1.27400	1.27426	8762	0	1
2024.02.02	00:00:00	1.27439	1.27547	1.27421	1.27528	6118	0	1
2024.02.02	04:00:00	1.27528	1.27544	1.27428	1.27459	7181	0	1
2024.02.02	08:00:00	1.27459	1.27721	1.27422	1.27644	12011	0	1
2024.02.02	12:00:00	1.27644	1.27691	1.26516	1.26603	24818	0	1
2024.02.02	16:00:00	1.26579	1.26685	1.26139	1.26242	22866	0	1
2024.02.02	20:00:00	1.26242	1.26438	1.26239	1.26338	7791	0	1
2024.02.04	20:00:00	1.26220	1.26348	1.26151	1.26286	556	0	1
2024.02.05	00:00:00	1.26283	1.26316	1.25984	1.26023	15443	0	1
2024.02.05	04:00:00	1.26023	1.26163	1.25990	1.26118	11777	0	1
2024.02.05	08:00:00	1.26118	1.26293	1.25813	1.25948	14681	0	1
2024.02.05	12:00:00	1.25948	1.25955	1.25488	1.25526	15195	0	1
2024.02.05	16:00:00	1.25500	1.25500	1.25182	1.25389	17187	0	1
2024.02.05	20:00:00	1.25391	1.25420	1.25263	1.25374	6715	0	1
2024.02.06	00:00:00	1.25373	1.25493	1.25299	1.25459	5842	0	1
2024.02.06	04:00:00	1.25459	1.25565	1.25393	1.25515	11808	0	1
2024.02.06	08:00:00	1.25516	1.25650	1.25361	1.25384	15636	0	1
2024.02.06	12:00:00	1.25383	1.25798	1.25361	1.25735	17736	0	1
2024.02.06	16:00:00	1.25735	1.26004	1.25685	1.25993	21225	0	1
2024.02.06	20:00:00	1.25993	1.26031	1.25874	1.25997	7465	0	1
2024.02.07	00:00:00	1.25969	1.26127	1.25964	1.26062	6631	0	1
2024.02.07	04:00:00	1.26062	1.26116	1.25980	1.26045	7611	0	1
2024.02.07	08:00:00	1.26043	1.26377	1.26043	1.26273	12947	0	1
2024.02.07	12:00:00	1.26273	1.26412	1.26204	1.26334	15044	0	1
2024.02.07	16:00:00	1.26334	1.26417	1.26164	1.26252	20761	0	1
2024.02.07	20:00:00	1.26252	1.26301	1.26213	1.26270	5615	0	1
2024.02.08	00:00:00	1.26270	1.26385	1.26222	1.26336	7485	0	1
2024.02.08	04:00:00	1.26336	1.26377	1.26259	1.26328	6603	0	1
2024.02.08	08:00:00	1.26328	1.26363	1.26126	1.26203	12429	0	1
2024.02.08	12:00:00	1.26204	1.26207	1.25716	1.26079	17037	0	1
2024.02.08	16:00:00	1.26079	1.26295	1.25882	1.26190	16412	0	1
2024.02.08	20:00:00	1.26190	1.26223	1.26079	1.26161	5607	0	1
2024.02.09	00:00:00	1.26161	1.26220	1.26128	1.26203	5387	0	1
2024.02.09	04:00:00	1.26203	1.26229	1.26112	1.26197	4735	0	1
2024.02.09	08:00:00	1.26197	1.26345	1.26034	1.26052	13506	0	1
2024.02.09	12:00:00	1.26054	1.26399	1.25989	1.26326	21148	0	1
2024.02.09	16:00:00	1.26326	1.26429	1.26212	1.26349	10898	0	1
2024.02.09	20:00:00	1.26348	1.26368	1.26250	1.26300	4415	0	1
2024.02.11	20:00:00	1.26207	1.26245	1.26188	1.26205	332	0	85
2024.02.12	00:00:00	1.26205	1.26435	1.26202	1.26321	6434	0	1
2024.02.12	04:00:00	1.26321	1.26353	1.26263	1.26312	2723	0	1
2024.02.12	08:00:00	1.26311	1.26543	1.26162	1.26224	14183	0	1
2024.02.12	12:00:00	1.26225	1.26259	1.26059	1.26224	13270	0	1
2024.02.12	16:00:00	1.26224	1.26402	1.26105	1.26344	13701	0	1
2024.02.12	20:00:00	1.26334	1.26378	1.26212	1.26264	8171	0	1
2024.02.13	00:00:00	1.26264	1.26283	1.26113	1.26141	4074	0	1
2024.02.13	04:00:00	1.26141	1.26232	1.26087	1.26182	4525	0	1
2024.02.13	08:00:00	1.26188	1.26689	1.26182	1.26677	16390	0	1
2024.02.13	12:00:00	1.26676	1.26862	1.25794	1.25885	27615	0	1
2024.02.13	16:00:00	1.25884	1.26078	1.25754	1.25893	17750	0	1
2024.02.13	20:00:00	1.25893	1.25950	1.25729	1.25927	6590	0	1
2024.02.14	00:00:00	1.25931	1.25995	1.25842	1.25950	7602	0	1
2024.02.14	04:00:00	1.25950	1.26106	1.25927	1.26016	7971	0	1
2024.02.14	08:00:00	1.26028	1.26039	1.25356	1.25484	18522	0	1
2024.02.14	12:00:00	1.25484	1.25679	1.25371	1.25510	17472	0	1
2024.02.14	16:00:00	1.25511	1.25706	1.25395	1.25631	14168	0	1
2024.02.14	20:00:00	1.25632	1.25667	1.25563	1.25634	5499	0	1
2024.02.15	00:00:00	1.25637	1.25733	1.25583	1.25659	6198	0	1
2024.02.15	04:00:00	1.25660	1.25728	1.25608	1.25675	5033	0	1
2024.02.15	08:00:00	1.25675	1.25676	1.25416	1.25564	13487	0	1
2024.02.15	12:00:00	1.25564	1.25920	1.25413	1.25816	19629	0	1
2024.02.15	16:00:00	1.25816	1.25964	1.25733	1.25923	14975	0	1
2024.02.15	20:00:00	1.25923	1.26019	1.25871	1.26012	6072	0	1
2024.02.16	00:00:00	1.26010	1.26049	1.25800	1.25838	7021	0	1
2024.02.16	04:00:00	1.25838	1.25860	1.25768	1.25826	5267	0	1
2024.02.16	08:00:00	1.25825	1.26059	1.25744	1.25888	13754	0	1
2024.02.16	12:00:00	1.25888	1.26010	1.25504	1.25614	19788	0	1
2024.02.16	16:00:00	1.25610	1.26227	1.25596	1.26190	17868	0	1
2024.02.16	20:00:00	1.26190	1.26241	1.25978	1.26001	6942	0	1
2024.02.18	20:00:00	1.26023	1.26023	1.25954	1.25982	392	0	8
2024.02.19	00:00:00	1.25982	1.26268	1.25982	1.26151	8366	0	1
2024.02.19	04:00:00	1.26151	1.26241	1.26112	1.26238	6130	0	1
2024.02.19	08:00:00	1.26238	1.26297	1.26068	1.26164	10912	0	1
2024.02.19	12:00:00	1.26163	1.26214	1.25913	1.25945	9113	0	1
2024.02.19	16:00:00	1.25945	1.25992	1.25833	1.25962	5054	0	1
2024.02.19	20:00:00	1.25962	1.26009	1.25842	1.25949	1987	0	1
2024.02.20	00:00:00	1.25949	1.25962	1.25800	1.25835	8365	0	1
2024.02.20	04:00:00	1.25835	1.25886	1.25791	1.25865	5495	0	1
2024.02.20	08:00:00	1.25863	1.26159	1.25814	1.26101	17130	0	1
2024.02.20	12:00:00	1.26102	1.26639	1.25870	1.26496	18291	0	1
2024.02.20	16:00:00	1.26498	1.26683	1.26226	1.26246	13617	0	1
2024.02.20	20:00:00	1.26243	1.26258	1.26163	1.26217	5339	0	1
2024.02.21	00:00:00	1.26218	1.26343	1.26191	1.26302	7225	0	1
2024.02.21	04:00:00	1.26302	1.26374	1.26180	1.26229	6925	0	1
2024.02.21	08:00:00	1.26229	1.26328	1.26027	1.26211	12650	0	1
2024.02.21	12:00:00	1.26211	1.26344	1.26081	1.26236	14876	0	1
2024.02.21	16:00:00	1.26236	1.26282	1.26051	1.26233	13795	0	1
2024.02.21	20:00:00	1.26233	1.26414	1.26167	1.26371	12519	0	1
2024.02.22	00:00:00	1.26374	1.26466	1.26308	1.26391	7226	0	1
2024.02.22	04:00:00	1.26392	1.26509	1.26339	1.26480	5431	0	1
2024.02.22	08:00:00	1.26480	1.27091	1.26463	1.26793	19624	0	1
2024.02.22	12:00:00	1.26793	1.26827	1.26117	1.26307	20839	0	1
2024.02.22	16:00:00	1.26308	1.26627	1.26113	1.26611	19825	0	1
2024.02.22	20:00:00	1.26611	1.26643	1.26545	1.26580	6411	0	1
2024.02.23	00:00:00	1.26580	1.26661	1.26481	1.26622	8029	0	1
2024.02.23	04:00:00	1.26623	1.26674	1.26573	1.26639	6281	0	1
2024.02.23	08:00:00	1.26639	1.26767	1.26488	1.26735	14788	0	1
2024.02.23	12:00:00	1.26735	1.27010	1.26719	1.26901	16181	0	1
2024.02.23	16:00:00	1.26901	1.26903	1.26653	1.26802	15201	0	1
2024.02.23	20:00:00	1.26803	1.26803	1.26661	1.26700	6121	0	1
2024.02.25	20:00:00	1.26712	1.26778	1.26654	1.26713	445	0	10
2024.02.26	00:00:00	1.26722	1.26748	1.26576	1.26584	8583	0	1
2024.02.26	04:00:00	1.26584	1.26702	1.26564	1.26663	6586	0	1
2024.02.26	08:00:00	1.26663	1.26892	1.26658	1.26784	11845	0	1
2024.02.26	12:00:00	1.26782	1.26992	1.26728	1.26795	14246	0	1
2024.02.26	16:00:00	1.26798	1.26857	1.26706	1.26740	12677	0	1
2024.02.26	20:00:00	1.26740	1.26878	1.26737	1.26843	5609	0	1
2024.02.27	00:00:00	1.26843	1.26868	1.26748	1.26773	7800	0	1
2024.02.27	04:00:00	1.26773	1.26873	1.26745	1.26813	7073	0	1
2024.02.27	08:00:00	1.26812	1.26968	1.26713	1.26828	11842	0	1
